id,object_name,chain,object_type,address,number,number_original,object_type_short,street,street_length
218420,Шаурма,False,предприятие быстрого обслуживания,"город Москва, Покровская улица, дом 23",20.0,0,фастфуд,Покровская улица,16
206360,Буфет Тестов,False,ресторан,"город Москва, проспект Защитников Москвы, дом 8",2.0,2,ресторан,проспект Защитников Москвы,26
218342,Тандыр,False,предприятие быстрого обслуживания,"город Москва, Рождественская улица, дом 29",20.0,0,фастфуд,Рождественская улица,20
213415,Тандыр,False,магазин (отдел кулинарии),"город Москва, улица Льва Яшина, дом 5, корпус 1",8.5,0,магазин,улица Льва Яшина,16
211399,Карагат,False,кафе,"город Москва, улица Липчанского, дом 2",13.0,13,кафе,улица Липчанского,17
207514,Донер,False,предприятие быстрого обслуживания,"город Москва, Покровская улица, дом 21",20.0,0,фастфуд,Покровская улица,16
207483,Пекарня,False,предприятие быстрого обслуживания,"город Москва, Рождественская улица, дом 31",2.0,2,фастфуд,Рождественская улица,20
218358,Бай Донер,False,кафе,"город Москва, Рождественская улица, дом 31",24.0,24,кафе,Рождественская улица,20
207349,Суши лав,False,предприятие быстрого обслуживания,"город Москва, Покровская улица, дом 16",3.0,3,фастфуд,Покровская улица,16
206886,Суши маг,False,предприятие быстрого обслуживания,"город Москва, Рождественская улица, дом 33",5.0,5,фастфуд,Рождественская улица,20
223301,Кальянная на Островитянова 13,False,кафе,"город Москва, улица Островитянова, дом 13",40.0,40,кафе,улица Островитянова,19
206196,Кальянная,False,бар,"город Москва, Профсоюзная улица, дом 104",35.0,35,бар,Профсоюзная улица,17
213217,Be Positive,False,кафе,"город Москва, Профсоюзная улица, дом 104",45.0,45,кафе,Профсоюзная улица,17
217078,FreshCafe,False,бар,"город Москва, Ленинский проспект, дом 119",16.0,16,бар,Ленинский проспект,18
209321,Кафе,False,кафе,"город Москва, улица Коштоянца, дом 20, корпус 1",6.0,6,кафе,улица Коштоянца,15
215613,Coffe crew,False,кафе,"город Москва, Мичуринский проспект, дом 34",10.0,10,кафе,Мичуринский проспект,20
214894,Кафе Изюм,False,кафе,"город Москва, Мичуринский проспект, дом 34",25.0,25,кафе,Мичуринский проспект,20
205235,Пекарня «Три сыра»,False,кафе,"город Москва, Мичуринский проспект, дом 26",8.0,8,кафе,Мичуринский проспект,20
205562,PICNIC Cafe,False,кафе,"город Москва, Мосфильмовская улица, дом 53",48.0,48,кафе,Мосфильмовская улица,20
205828,СУШИСЕТ,False,кафе,"город Москва, Пятницкое шоссе, дом 21",13.0,13,кафе,Пятницкое шоссе,15
206007,Донатос Пицца,False,кафе,"город Москва, Дмитровское шоссе, дом 13А",6.0,6,кафе,Дмитровское шоссе,17
222581,Flight Club,False,кафе,"город Москва, Кочновский проезд, дом 4, корпус 1",70.0,70,кафе,Кочновский проезд,17
215019,ФЕРГАНА,False,кафе,"город Москва, Кочновский проезд, дом 4, корпус 1",24.0,24,кафе,Кочновский проезд,17
205218,Кондитерская лавка Александра,False,кафе,"город Москва, город Зеленоград, корпус 533",9.0,9,кафе,корпус 533,10
